file,rows,columns,grain,category,recommended_tier,recommended_use,ranking_use,duplicate_rows,max_column_missing_pct,parse_error
aamc_a1_school_residency.csv,150,11,school,school residency composition,Tier 1: ranking runtime,Use for residency evidence and derived preference indicators,Yes,1,1.3,
aamc_a23_acceptance_grid.csv,110,6,applicant score bin,national MCAT/GPA outcome grid,Tier 1: applicant context,"Use for national academic context, never as a school-specific probability",Context only,0,14.5,
aamc_mcat_gpa_raw.csv,43,13,raw table layout,raw MCAT/GPA grid,Archive only,Do not load at runtime; cleaned A-23 replaces it,No,1,62.8,
cleaned/clean_MCAT_and_GPA/aamc_a16_clean.csv,192,5,national/year/population,MCAT/GPA summary,Tier 2: applicant context,Compare applicant metrics with national applicants and matriculants,Context only,0,0.0,
cleaned/clean_MCAT_and_GPA/aamc_a17_major_stats.csv,272,7,major/year/population,MCAT/GPA by major,Tier 2: applicant context,Provide major-specific context; not an admissions adjustment,Context only,0,0.0,
cleaned/clean_MCAT_and_GPA/aamc_a18_race_ethnicity_stats.csv,320,7,population/state demographic,race and ethnicity outcomes/trends,Tier 4: equity/research,Use for aggregate equity analysis; do not personalize ranking or odds by race,No personalized ranking,0,0.0,
cleaned/clean_MCAT_and_GPA/aamc_a19_applicant_state_stats.csv,952,9,state/year/population,MCAT/GPA by legal residence,Tier 2: applicant context,Provide home-state academic context; not school-specific,Context only,0,0.0,
cleaned/clean_MCAT_and_GPA/aamc_a20_matriculant_state_stats.csv,952,9,state/year/population,MCAT/GPA by legal residence,Tier 2: applicant context,Provide home-state academic context; not school-specific,Context only,0,0.0,
cleaned/clean_MCAT_and_GPA/aamc_a21_applicant_gender_stats.csv,408,7,population/year/gender,gender trends or scores,Tier 4: demographic research,Use for aggregate reporting only; not personalized ranking,No personalized ranking,0,0.0,
cleaned/clean_MCAT_and_GPA/aamc_a22_matriculant_gender_stats.csv,408,7,population/year/gender,gender trends or scores,Tier 4: demographic research,Use for aggregate reporting only; not personalized ranking,No personalized ranking,0,0.0,
cleaned/clean_data_instituion/combined_undergraduate_applicant_demographics_wide.csv,242,25,undergraduate institution,applicant feeder/demographic context,Tier 3: profile context,Use for undergraduate institution context; do not infer applicant quality,Context only,0,86.8,
cleaned/clean_data_instituion/combined_undergraduate_demographics_long.csv,517,13,undergraduate institution,applicant feeder/demographic context,Tier 3: profile context,Use for undergraduate institution context; do not infer applicant quality,Context only,0,0.0,
cleaned/clean_data_instituion/data_dictionary.csv,141,4,metadata/QA,data governance,Development/QA,"Use for provenance, documentation, and tests; not ranking",No,0,0.0,
cleaned/clean_data_instituion/facts_a1_medical_school_applications_matriculants.csv,160,16,school,school applications/matriculants source,Canonical build input,Source behind school residency file; also contains gender composition,Build only,0,0.0,
cleaned/clean_data_instituion/facts_a2_1_black_or_african_american_applicants.csv,115,13,undergraduate institution,applicant feeder/demographic context,Tier 3: profile context,Use for undergraduate institution context; do not infer applicant quality,Context only,0,0.0,
cleaned/clean_data_instituion/facts_a2_2_american_indian_or_alaska_native_applicants.csv,32,13,undergraduate institution,applicant feeder/demographic context,Tier 3: profile context,Use for undergraduate institution context; do not infer applicant quality,Context only,0,0.0,
cleaned/clean_data_instituion/facts_a2_3_hispanic_or_latino_applicants.csv,152,13,undergraduate institution,applicant feeder/demographic context,Tier 3: profile context,Use for undergraduate institution context; do not infer applicant quality,Context only,0,0.0,
cleaned/clean_data_instituion/facts_a2_4_asian_applicants.csv,88,13,undergraduate institution,applicant feeder/demographic context,Tier 3: profile context,Use for undergraduate institution context; do not infer applicant quality,Context only,0,0.0,
cleaned/clean_data_instituion/facts_a2_5_white_applicants.csv,65,13,undergraduate institution,applicant feeder/demographic context,Tier 3: profile context,Use for undergraduate institution context; do not infer applicant quality,Context only,0,0.0,
cleaned/clean_data_instituion/facts_a2_6_middle_eastern_or_north_african_applicants.csv,65,13,undergraduate institution,applicant feeder/demographic context,Tier 3: profile context,Use for undergraduate institution context; do not infer applicant quality,Context only,0,0.0,
cleaned/clean_data_instituion/facts_a2_undergraduate_institutions_total_applicants.csv,205,9,undergraduate institution,applicant feeder/demographic context,Tier 3: profile context,Use for undergraduate institution context; do not infer applicant quality,Context only,0,0.0,
cleaned/clean_data_instituion/manifest.csv,12,3,metadata/QA,data governance,Development/QA,"Use for provenance, documentation, and tests; not ranking",No,0,0.0,
cleaned/clean_data_instituion/source_metadata.csv,9,9,metadata/QA,data governance,Development/QA,"Use for provenance, documentation, and tests; not ranking",No,0,88.9,
cleaned/clean_data_legal_residence_and_gender/combined_gender_trends_2006_2026_long.csv,480,6,population/year/gender,gender trends or scores,Tier 4: demographic research,Use for aggregate reporting only; not personalized ranking,No personalized ranking,0,11.7,
cleaned/clean_data_legal_residence_and_gender/combined_gender_trends_2006_2026_wide.csv,28,23,population/year/gender,gender trends or scores,Tier 4: demographic research,Use for aggregate reporting only; not personalized ranking,No personalized ranking,0,28.6,
cleaned/clean_data_legal_residence_and_gender/combined_state_applicant_matriculant_trends_2016_2026_long.csv,600,7,population/year/gender,gender trends or scores,Tier 4: demographic research,Use for aggregate reporting only; not personalized ranking,No personalized ranking,0,6.7,
cleaned/clean_data_legal_residence_and_gender/combined_state_outcomes_2025_2026_wide.csv,60,13,population/year/gender,gender trends or scores,Tier 4: demographic research,Use for aggregate reporting only; not personalized ranking,No personalized ranking,0,6.7,
cleaned/clean_data_legal_residence_and_gender/data_dictionary.csv,9,3,metadata/QA,data governance,Development/QA,"Use for provenance, documentation, and tests; not ranking",No,0,0.0,
cleaned/clean_data_legal_residence_and_gender/facts_a3_applicants_by_state_2016_2026.csv,60,15,population/year/gender,gender trends or scores,Tier 4: demographic research,Use for aggregate reporting only; not personalized ranking,No personalized ranking,0,6.7,
cleaned/clean_data_legal_residence_and_gender/facts_a4_matriculants_by_state_2016_2026.csv,60,15,population/year/gender,gender trends or scores,Tier 4: demographic research,Use for aggregate reporting only; not personalized ranking,No personalized ranking,0,6.7,
cleaned/clean_data_legal_residence_and_gender/facts_a5_applicant_matriculation_status_by_state_2025_2026.csv,60,11,population/year/gender,gender trends or scores,Tier 4: demographic research,Use for aggregate reporting only; not personalized ranking,No personalized ranking,0,6.7,
cleaned/clean_data_legal_residence_and_gender/facts_a7_1_gender_trends_2006_2016.csv,20,15,population/year/gender,gender trends or scores,Tier 4: demographic research,Use for aggregate reporting only; not personalized ranking,No personalized ranking,0,0.0,
cleaned/clean_data_legal_residence_and_gender/facts_a7_2_gender_trends_2016_2026.csv,28,15,population/year/gender,gender trends or scores,Tier 4: demographic research,Use for aggregate reporting only; not personalized ranking,No personalized ranking,0,28.6,
cleaned/clean_data_legal_residence_and_gender/manifest.csv,13,3,metadata/QA,data governance,Development/QA,"Use for provenance, documentation, and tests; not ranking",No,0,7.7,
cleaned/clean_data_legal_residence_and_gender/source_metadata.csv,5,6,metadata/QA,data governance,Development/QA,"Use for provenance, documentation, and tests; not ranking",No,0,0.0,
cleaned/clean_other/combined_socioeconomic_access_indicators_2018_2026_long.csv,126,10,national/year/indicator,socioeconomic access trends,Tier 3: equity context,Use for aggregate access context and resource guidance; not ranking penalties,Context only,0,0.0,
cleaned/clean_other/combined_socioeconomic_access_indicators_2018_2026_wide.csv,18,30,national/year/indicator,socioeconomic access trends,Tier 3: equity context,Use for aggregate access context and resource guidance; not ranking penalties,Context only,0,33.3,
cleaned/clean_other/combined_socioeconomic_access_stage_summary_2025_2026.csv,6,14,national/year/indicator,socioeconomic access trends,Tier 3: equity context,Use for aggregate access context and resource guidance; not ranking penalties,Context only,0,0.0,
cleaned/clean_other/data_dictionary.csv,11,3,metadata/QA,data governance,Development/QA,"Use for provenance, documentation, and tests; not ranking",No,0,0.0,
cleaned/clean_other/facts_a24_socioeconomic_status_trends_2018_2026.csv,24,10,national/year/indicator,socioeconomic access trends,Tier 3: equity context,Use for aggregate access context and resource guidance; not ranking penalties,Context only,0,0.0,
cleaned/clean_other/facts_a25_daca_status_trends_2018_2026.csv,24,7,national/year/indicator,socioeconomic access trends,Tier 3: equity context,Use for aggregate access context and resource guidance; not ranking penalties,Context only,0,0.0,
cleaned/clean_other/facts_a26_first_generation_trends_2020_2026.csv,18,7,national/year/indicator,socioeconomic access trends,Tier 3: equity context,Use for aggregate access context and resource guidance; not ranking penalties,Context only,0,0.0,
cleaned/clean_other/facts_a27_fee_assistance_trends_2022_2026.csv,12,7,national/year/indicator,socioeconomic access trends,Tier 3: equity context,Use for aggregate access context and resource guidance; not ranking penalties,Context only,0,0.0,
cleaned/clean_other/manifest.csv,11,3,metadata/QA,data governance,Development/QA,"Use for provenance, documentation, and tests; not ranking",No,0,9.1,
