rank,school_name,state_aamc,application_deadline,criminal_background_check,application_deadline_date,shemmassian_school_name,medical_school,state_shemmassian,degree_type,average_gpa,average_mcat,minimum_mcat,is_public,campus_city,region,setting,school_state,school_state_code,school_degree_type,school_gpa,school_mcat,minimum_mcat_numeric,is_public_bool,school_city,school_region,school_setting,academic_score,academic_category,academic_composite_z,gpa_difference,mcat_difference,gpa_position_score,mcat_position_score,below_minimum_mcat,academic_reasons,academic_warnings,residency_context,residency_priority,residency_reasons,residency_warnings,eligibility_status,personal_fit_score,personal_fit_category,preference_components,preference_reasons,preference_warnings,preference_verification,mission_fit_score,mission_matches,mission_warnings,data_completeness_score,verification_needed,ranking_basis
1,Brody School of Medicine at East Carolina University,North Carolina,"October 1, 2026",Yes,2026-10-01,East  Carolina University Brody School of Medicine,East  Carolina University Brody School of Medicine,NC,MD,3.77,510,NR,True,Greenville,Southeast,Urban,North Carolina,NC,MD,3.77,510.0,,True,Greenville,Southeast,Urban,12.2,Reach,-1.167,-0.03,-10.0,44.0,2.3,False,"[""Applicant GPA is -0.03 relative to the school's reported average GPA of 3.77."", ""Applicant MCAT is -10 relative to the school's reported average MCAT of 510.""]",[],In-state public,4,"[""This is a public school in the applicant's state of residency.""]",[],Eligible,100.0,Strong Preference Fit,"{'region': 100.0, 'setting': 100.0}","[""Program type matches the applicant's selected options: MD."", 'School is in a preferred region: Southeast.', 'School setting matches the preference: Urban.']",[],[],,[],['Mission fit was not scored because curated school mission tags are unavailable.'],100.0,['Mission fit was not scored because curated school mission tags are unavailable.'],"Eligible schools are ordered as a planning list: stated preference fit first, then residency context, academic comparison index, and data completeness. The academic category remains separate and is not changed by location preferences."
2,Wake Forest University School of Medicine,North Carolina,"October 15, 2026",Yes,2026-10-15,Wake Forest School of Medicine,Wake Forest School of Medicine,NC,MD,3.83,511,NR,False,Winston-Salem,Southeast,Urban,North Carolina,NC,MD,3.83,511.0,,False,Winston-Salem,Southeast,Urban,7.9,High Reach,-1.413,-0.09,-11.0,32.6,1.4,False,"[""Applicant GPA is -0.09 relative to the school's reported average GPA of 3.83."", ""Applicant MCAT is -11 relative to the school's reported average MCAT of 511.""]",[],In-state,3,"[""This school is in the applicant's state of residency.""]",[],Eligible,100.0,Strong Preference Fit,"{'region': 100.0, 'setting': 100.0}","[""Program type matches the applicant's selected options: MD."", 'School is in a preferred region: Southeast.', 'School setting matches the preference: Urban.']",[],[],,[],['Mission fit was not scored because curated school mission tags are unavailable.'],100.0,['Mission fit was not scored because curated school mission tags are unavailable.'],"Eligible schools are ordered as a planning list: stated preference fit first, then residency context, academic comparison index, and data completeness. The academic category remains separate and is not changed by location preferences."
3,Duke University School of Medicine,North Carolina,"October 15, 2026",No,2026-10-15,Duke University School of Medicine,Duke University School of Medicine,NC,MD,3.90,519,NR,False,Durham,Southeast,Urban,North Carolina,NC,MD,3.9,519.0,,False,Durham,Southeast,Urban,0.7,High Reach,-2.45,-0.16,-19.0,21.2,0.0,False,"[""Applicant GPA is -0.16 relative to the school's reported average GPA of 3.90."", ""Applicant MCAT is -19 relative to the school's reported average MCAT of 519.""]",[],In-state,3,"[""This school is in the applicant's state of residency.""]",[],Eligible,100.0,Strong Preference Fit,"{'region': 100.0, 'setting': 100.0}","[""Program type matches the applicant's selected options: MD."", 'School is in a preferred region: Southeast.', 'School setting matches the preference: Urban.']",[],[],,[],['Mission fit was not scored because curated school mission tags are unavailable.'],100.0,['Mission fit was not scored because curated school mission tags are unavailable.'],"Eligible schools are ordered as a planning list: stated preference fit first, then residency context, academic comparison index, and data completeness. The academic category remains separate and is not changed by location preferences."
4,Meharry Medical College,Tennessee,"December 15, 2026",Yes,2026-12-15,Meharry Medical  College School of Medicine,Meharry Medical  College School of Medicine,TN,MD,3.46,503,NR,False,Nashville,Southeast,Urban,Tennessee,TN,MD,3.46,503.0,,False,Nashville,Southeast,Urban,61.8,Academically Plausible,0.3,0.28,-3.0,91.9,27.4,False,"[""Applicant GPA is +0.28 relative to the school's reported average GPA of 3.46."", ""Applicant MCAT is -3 relative to the school's reported average MCAT of 503.""]",[],Out-of-state private,2,"['The school is private, so state residency is usually less central than at a public school.']",[],Eligible,100.0,Strong Preference Fit,"{'region': 100.0, 'setting': 100.0}","[""Program type matches the applicant's selected options: MD."", 'School is in a preferred region: Southeast.', 'School setting matches the preference: Urban.']",[],[],,[],['Mission fit was not scored because curated school mission tags are unavailable.'],100.0,['Mission fit was not scored because curated school mission tags are unavailable.'],"Eligible schools are ordered as a planning list: stated preference fit first, then residency context, academic comparison index, and data completeness. The academic category remains separate and is not changed by location preferences."
5,Mercer University School of Medicine,Georgia,"November 2, 2026",Yes,2026-11-02,Mercer  University School of Medicine,Mercer  University School of Medicine,GA,MD,3.69,503,493–494,False,Macon,Southeast,Urban,Georgia,GA,MD,3.69,503.0,493.0,False,Macon,Southeast,Urban,41.4,Academically Plausible,-0.218,0.05,-3.0,59.9,27.4,False,"[""Applicant GPA is +0.05 relative to the school's reported average GPA of 3.69."", ""Applicant MCAT is -3 relative to the school's reported average MCAT of 503."", 'Applicant meets the listed minimum MCAT of 493.']",[],Out-of-state private,2,"['The school is private, so state residency is usually less central than at a public school.']",[],Eligible,100.0,Strong Preference Fit,"{'region': 100.0, 'setting': 100.0}","[""Program type matches the applicant's selected options: MD."", 'School is in a preferred region: Southeast.', 'School setting matches the preference: Urban.']",[],[],,[],['Mission fit was not scored because curated school mission tags are unavailable.'],100.0,['Mission fit was not scored because curated school mission tags are unavailable.'],"Eligible schools are ordered as a planning list: stated preference fit first, then residency context, academic comparison index, and data completeness. The academic category remains separate and is not changed by location preferences."
6,Morehouse School of Medicine,Georgia,"December 1, 2026",Yes,2026-12-01,Morehouse  School of Medicine,Morehouse  School of Medicine,GA,MD,3.64,504.1,NR,False,Atlanta,Southeast,Urban,Georgia,GA,MD,3.64,504.1,,False,Atlanta,Southeast,Urban,41.1,Academically Plausible,-0.226,0.1,-4.1,69.1,20.6,False,"[""Applicant GPA is +0.10 relative to the school's reported average GPA of 3.64."", ""Applicant MCAT is -4 relative to the school's reported average MCAT of 504.""]",[],Out-of-state private,2,"['The school is private, so state residency is usually less central than at a public school.']",[],Eligible,100.0,Strong Preference Fit,"{'region': 100.0, 'setting': 100.0}","[""Program type matches the applicant's selected options: MD."", 'School is in a preferred region: Southeast.', 'School setting matches the preference: Urban.']",[],[],,[],['Mission fit was not scored because curated school mission tags are unavailable.'],100.0,['Mission fit was not scored because curated school mission tags are unavailable.'],"Eligible schools are ordered as a planning list: stated preference fit first, then residency context, academic comparison index, and data completeness. The academic category remains separate and is not changed by location preferences."
7,Howard University College of Medicine,District of Columbia,"December 15, 2026",Yes,2026-12-15,Howard University College of Medicine,Howard University College of Medicine,DC,MD,3.61,507,494,False,Washington,Mid-Atlantic,Urban,District of Columbia,DC,MD,3.61,507.0,494.0,False,Washington,Mid-Atlantic,Urban,31.7,Academically Plausible,-0.477,0.13,-7.0,74.2,8.1,False,"[""Applicant GPA is +0.13 relative to the school's reported average GPA of 3.61."", ""Applicant MCAT is -7 relative to the school's reported average MCAT of 507."", 'Applicant meets the listed minimum MCAT of 494.']",[],Out-of-state private,2,"['The school is private, so state residency is usually less central than at a public school.']",[],Eligible,100.0,Strong Preference Fit,"{'region': 100.0, 'setting': 100.0}","[""Program type matches the applicant's selected options: MD."", 'School is in a preferred region: Mid-Atlantic.', 'School setting matches the preference: Urban.']",[],[],,[],['Mission fit was not scored because curated school mission tags are unavailable.'],100.0,['Mission fit was not scored because curated school mission tags are unavailable.'],"Eligible schools are ordered as a planning list: stated preference fit first, then residency context, academic comparison index, and data completeness. The academic category remains separate and is not changed by location preferences."
8,Tulane University School of Medicine,Louisiana,"October 1, 2026",Yes,2026-10-01,Tulane University  School of Medicine,Tulane University  School of Medicine,LA,MD,3.70,510,NR,False,New Orleans,Southeast,Urban,Louisiana,LA,MD,3.7,510.0,,False,New Orleans,Southeast,Urban,15.6,Reach,-1.01,0.04,-10.0,57.9,2.3,False,"[""Applicant GPA is +0.04 relative to the school's reported average GPA of 3.70."", ""Applicant MCAT is -10 relative to the school's reported average MCAT of 510.""]",[],Out-of-state private,2,"['The school is private, so state residency is usually less central than at a public school.']",[],Eligible,100.0,Strong Preference Fit,"{'region': 100.0, 'setting': 100.0}","[""Program type matches the applicant's selected options: MD."", 'School is in a preferred region: Southeast.', 'School setting matches the preference: Urban.']",[],[],,[],['Mission fit was not scored because curated school mission tags are unavailable.'],100.0,['Mission fit was not scored because curated school mission tags are unavailable.'],"Eligible schools are ordered as a planning list: stated preference fit first, then residency context, academic comparison index, and data completeness. The academic category remains separate and is not changed by location preferences."
9,Drexel University College of Medicine,Pennsylvania,"December 1, 2026",Yes,2026-12-01,Drexel University College of Medicine,Drexel University College of Medicine,PA,MD,3.76,512,NR,False,Philadelphia,Mid-Atlantic,Urban,Pennsylvania,PA,MD,3.76,512.0,,False,Philadelphia,Mid-Atlantic,Urban,8.6,High Reach,-1.365,-0.02,-12.0,46.0,0.8,False,"[""Applicant GPA is -0.02 relative to the school's reported average GPA of 3.76."", ""Applicant MCAT is -12 relative to the school's reported average MCAT of 512.""]",[],Out-of-state private,2,"['The school is private, so state residency is usually less central than at a public school.']",[],Eligible,100.0,Strong Preference Fit,"{'region': 100.0, 'setting': 100.0}","[""Program type matches the applicant's selected options: MD."", 'School is in a preferred region: Mid-Atlantic.', 'School setting matches the preference: Urban.']",[],[],,[],['Mission fit was not scored because curated school mission tags are unavailable.'],100.0,['Mission fit was not scored because curated school mission tags are unavailable.'],"Eligible schools are ordered as a planning list: stated preference fit first, then residency context, academic comparison index, and data completeness. The academic category remains separate and is not changed by location preferences."
10,Emory University School of Medicine,Georgia,"October 15, 2026",No,2026-10-15,Emory  University School of Medicine,Emory  University School of Medicine,GA,MD,3.70,514,NR,False,Atlanta,Southeast,Urban,Georgia,GA,MD,3.7,514.0,,False,Atlanta,Southeast,Urban,7.4,High Reach,-1.45,0.04,-14.0,57.9,0.3,False,"[""Applicant GPA is +0.04 relative to the school's reported average GPA of 3.70."", ""Applicant MCAT is -14 relative to the school's reported average MCAT of 514.""]",[],Out-of-state private,2,"['The school is private, so state residency is usually less central than at a public school.']",[],Eligible,100.0,Strong Preference Fit,"{'region': 100.0, 'setting': 100.0}","[""Program type matches the applicant's selected options: MD."", 'School is in a preferred region: Southeast.', 'School setting matches the preference: Urban.']",[],[],,[],['Mission fit was not scored because curated school mission tags are unavailable.'],100.0,['Mission fit was not scored because curated school mission tags are unavailable.'],"Eligible schools are ordered as a planning list: stated preference fit first, then residency context, academic comparison index, and data completeness. The academic category remains separate and is not changed by location preferences."
11,Georgetown University School of Medicine,District of Columbia,"November 2, 2026",Yes,2026-11-02,Georgetown University School of Medicine,Georgetown University School of Medicine,DC,MD,3.76,513,NR,False,Washington,Mid-Atlantic,Urban,District of Columbia,DC,MD,3.76,513.0,,False,Washington,Mid-Atlantic,Urban,7.0,High Reach,-1.475,-0.02,-13.0,46.0,0.5,False,"[""Applicant GPA is -0.02 relative to the school's reported average GPA of 3.76."", ""Applicant MCAT is -13 relative to the school's reported average MCAT of 513.""]",[],Out-of-state private,2,"['The school is private, so state residency is usually less central than at a public school.']",[],Eligible,100.0,Strong Preference Fit,"{'region': 100.0, 'setting': 100.0}","[""Program type matches the applicant's selected options: MD."", 'School is in a preferred region: Mid-Atlantic.', 'School setting matches the preference: Urban.']",[],[],,[],['Mission fit was not scored because curated school mission tags are unavailable.'],100.0,['Mission fit was not scored because curated school mission tags are unavailable.'],"Eligible schools are ordered as a planning list: stated preference fit first, then residency context, academic comparison index, and data completeness. The academic category remains separate and is not changed by location preferences."
12,Sidney Kimmel Medical College at Thomas Jefferson University,Pennsylvania,"November 16, 2026",Yes,2026-11-16,Sidney Kimmel Medical College at Thomas Jefferson University,Sidney Kimmel Medical College at Thomas Jefferson University,PA,MD,3.80,513,NR,False,Philadelphia,Mid-Atlantic,Urban,Pennsylvania,PA,MD,3.8,513.0,,False,Philadelphia,Mid-Atlantic,Urban,5.9,High Reach,-1.565,-0.06,-13.0,38.2,0.5,False,"[""Applicant GPA is -0.06 relative to the school's reported average GPA of 3.80."", ""Applicant MCAT is -13 relative to the school's reported average MCAT of 513.""]",[],Out-of-state private,2,"['The school is private, so state residency is usually less central than at a public school.']",[],Eligible,100.0,Strong Preference Fit,"{'region': 100.0, 'setting': 100.0}","[""Program type matches the applicant's selected options: MD."", 'School is in a preferred region: Mid-Atlantic.', 'School setting matches the preference: Urban.']",[],[],,[],['Mission fit was not scored because curated school mission tags are unavailable.'],100.0,['Mission fit was not scored because curated school mission tags are unavailable.'],"Eligible schools are ordered as a planning list: stated preference fit first, then residency context, academic comparison index, and data completeness. The academic category remains separate and is not changed by location preferences."
13,Geisinger Commonwealth School of Medicine,Pennsylvania,"December 15, 2026",Yes,2026-12-15,Geisinger Commonwealth School of Medicine,Geisinger Commonwealth School of Medicine,PA,MD,3.81,513.06,NR,False,Scranton,Mid-Atlantic,Urban,Pennsylvania,PA,MD,3.81,513.06,,False,Scranton,Mid-Atlantic,Urban,5.5,High Reach,-1.599,-0.07,-13.1,36.3,0.4,False,"[""Applicant GPA is -0.07 relative to the school's reported average GPA of 3.81."", ""Applicant MCAT is -13 relative to the school's reported average MCAT of 513.""]",[],Out-of-state private,2,"['The school is private, so state residency is usually less central than at a public school.']",[],Eligible,100.0,Strong Preference Fit,"{'region': 100.0, 'setting': 100.0}","[""Program type matches the applicant's selected options: MD."", 'School is in a preferred region: Mid-Atlantic.', 'School setting matches the preference: Urban.']",[],[],,[],['Mission fit was not scored because curated school mission tags are unavailable.'],100.0,['Mission fit was not scored because curated school mission tags are unavailable.'],"Eligible schools are ordered as a planning list: stated preference fit first, then residency context, academic comparison index, and data completeness. The academic category remains separate and is not changed by location preferences."
14,George Washington University School of Medicine & Health Sciences,District of Columbia,"November 2, 2026",Yes,2026-11-02,George Washington University School of Medicine and Health Sciences,George Washington University School of Medicine and Health Sciences,DC,MD,3.88,515,NR,False,Washington,Mid-Atlantic,Urban,District of Columbia,DC,MD,3.88,515.0,,False,Washington,Mid-Atlantic,Urban,2.5,High Reach,-1.965,-0.14,-15.0,24.2,0.1,False,"[""Applicant GPA is -0.14 relative to the school's reported average GPA of 3.88."", ""Applicant MCAT is -15 relative to the school's reported average MCAT of 515.""]",[],Out-of-state private,2,"['The school is private, so state residency is usually less central than at a public school.']",[],Eligible,100.0,Strong Preference Fit,"{'region': 100.0, 'setting': 100.0}","[""Program type matches the applicant's selected options: MD."", 'School is in a preferred region: Mid-Atlantic.', 'School setting matches the preference: Urban.']",[],[],,[],['Mission fit was not scored because curated school mission tags are unavailable.'],100.0,['Mission fit was not scored because curated school mission tags are unavailable.'],"Eligible schools are ordered as a planning list: stated preference fit first, then residency context, academic comparison index, and data completeness. The academic category remains separate and is not changed by location preferences."
15,Vanderbilt University School of Medicine,Tennessee,"November 2, 2026",Yes,2026-11-02,Vanderbilt University School of Medicine,Vanderbilt University School of Medicine,TN,MD,3.5-4.0,508-528,NR,False,Nashville,Southeast,Urban,Tennessee,TN,MD,3.75,518.0,,False,Nashville,Southeast,Urban,2.3,High Reach,-2.003,-0.01,-18.0,48.0,0.0,False,"[""Applicant GPA is -0.01 relative to the school's reported average GPA of 3.75."", ""Applicant MCAT is -18 relative to the school's reported average MCAT of 518.""]",[],Out-of-state private,2,"['The school is private, so state residency is usually less central than at a public school.']",[],Eligible,100.0,Strong Preference Fit,"{'region': 100.0, 'setting': 100.0}","[""Program type matches the applicant's selected options: MD."", 'School is in a preferred region: Southeast.', 'School setting matches the preference: Urban.']",[],[],,[],['Mission fit was not scored because curated school mission tags are unavailable.'],100.0,['Mission fit was not scored because curated school mission tags are unavailable.'],"Eligible schools are ordered as a planning list: stated preference fit first, then residency context, academic comparison index, and data completeness. The academic category remains separate and is not changed by location preferences."
