| School                                                         | Eligibility | Academic Assessment | Basic Preference Match     | Residency Context | Main Evidence                                                                                                                                                       | Main Limitation                                | Recommended Action       | Verification Needed |
|----------------------------------------------------------------|-------------|---------------------|----------------------------|-------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------------------|-------------------------|---------------------|
| Brody School of Medicine at East Carolina University            | Eligible    | Insufficient Data    | Strong Basic Preference Match | In-state public   | Eligibility is Eligible; applicant GPA is close to school GPA average (-0.05); strong preference match due to in-state and urban setting match.                   | Missing MCAT score prevents academic classification | Prioritize              | No                  |
| University of North Carolina at Chapel Hill School of Medicine  | Eligible    | Insufficient Data    | Moderate Basic Preference Match | In-state public   | Eligibility is Eligible; GPA slightly below school average (-0.07); moderate preference match; school is suburban, preference is urban.                           | Missing MCAT score and setting mismatch       | Consider                | No                  |
| Wake Forest University School of Medicine                       | Eligible    | Insufficient Data    | Strong Basic Preference Match | In-state         | Eligibility is Eligible; GPA slightly below school average (-0.11); strong preference match due to in-state and urban setting match.                              | Missing MCAT score                             | Prioritize              | No                  |
| Duke University School of Medicine                              | Eligible    | Insufficient Data    | Strong Basic Preference Match | In-state         | Eligibility is Eligible; GPA below school average (-0.18); strong preference match due to in-state and urban setting match.                                       | Missing MCAT score                             | Prioritize              | No                  |
| University of Rochester School of Medicine and Dentistry       | Eligible    | Insufficient Data    | Strong Basic Preference Match | Out-of-state private | Eligibility is Eligible; GPA above school average (+0.12); strong preference match with preferred region and urban setting; approx. 4 border crossings away.         | Missing MCAT score                             | Consider                | No                  |
| Albany Medical College                                          | Eligible    | Insufficient Data    | Strong Basic Preference Match | Out-of-state private | Eligibility is Eligible; GPA slightly below school average (-0.08); strong preference match with preferred region and urban setting; approx. 4 border crossings away. | Missing MCAT score                             | Consider                | No                  |
| Icahn School of Medicine at Mount Sinai                         | Eligible    | Insufficient Data    | Strong Basic Preference Match | Out-of-state private | Eligibility is Eligible; GPA slightly below school average (-0.09); strong preference match with preferred region and urban setting; approx. 4 border crossings away. | Missing MCAT score                             | Consider                | No                  |
| Albert Einstein College of Medicine                             | Eligible    | Insufficient Data    | Strong Basic Preference Match | Out-of-state private | Eligibility is Eligible; GPA slightly below school average (-0.10); strong preference match with preferred region and urban setting; approx. 4 border crossings away. | Missing MCAT score                             | Consider                | No                  |
| Columbia University Vagelos College of Physicians and Surgeons | Eligible    | Insufficient Data    | Strong Basic Preference Match | Out-of-state private | Eligibility is Eligible; GPA slightly below school average (-0.13); strong preference match with preferred region and urban setting; approx. 4 border crossings away. | Missing MCAT score                             | Consider                | No                  |
| Weill Cornell Medicine                                         | Eligible    | Insufficient Data    | Strong Basic Preference Match | Out-of-state private | Eligibility is Eligible; GPA below school average (-0.18); strong preference match with preferred region and urban setting; approx. 4 border crossings away.          | Missing MCAT score                             | Consider                | No                  |
| NYU Grossman School of Medicine                                | Eligible    | Insufficient Data    | Strong Basic Preference Match | Out-of-state private | Eligibility is Eligible; GPA below school average (-0.26); strong preference match with preferred region and urban setting; approx. 4 border crossings away.          | Missing MCAT score                             | Consider after MCAT      | No                  |
| Boston University Aram V. Chobanian & Edward Avedisian School of Medicine | Eligible | Insufficient Data | Strong Basic Preference Match | Out-of-state private | Eligibility is Eligible; GPA slightly below school average (-0.04); strong preference match with preferred region and urban setting; approx. 5 border crossings away. | Missing MCAT score                             | Consider                | No                  |
| Tufts University School of Medicine                            | Eligible    | Insufficient Data    | Strong Basic Preference Match | Out-of-state private | Eligibility is Eligible; GPA slightly below school average (-0.10); strong preference match with preferred region and urban setting; approx. 5 border crossings away. | Missing MCAT score                             | Consider                | No                  |
| Harvard Medical School                                         | Eligible    | Insufficient Data    | Strong Basic Preference Match | Out-of-state private | Eligibility is Eligible; GPA below school average (-0.18); strong preference match with preferred region and urban setting; approx. 5 border crossings away.          | Missing MCAT score                             | Consider                | No                  |
| Yale School of Medicine                                       | Eligible    | Insufficient Data    | Strong Basic Preference Match | Out-of-state private | Eligibility is Eligible; GPA below school average (-0.22); strong preference match with preferred region and urban setting; approx. 5 border crossings away.          | Missing MCAT score                             | Consider                | No                  |
